channel,time
1,1.0057
1,1.0106
1,1.0131
1,1.0163
1,1.0194
1,1.0207
1,1.0237
1,1.0264
1,1.0288
1,1.0392
1,1.4252
1,1.4272
1,1.4292
1,1.4439
1,1.4453
1,1.4505
1,1.4531
1,1.5146
1,8.134
1,8.141
1,8.1431
1,8.1448
1,8.1512
1,8.1549
1,8.1584
1,8.1593
1,12.396
1,12.399
1,12.402
1,12.404
1,12.405
1,12.415
1,12.419
1,16.459
1,16.466
1,16.467
1,16.469
1,16.472
1,16.474
1,16.48
1,16.483
1,16.484
1,16.487
1,16.491
1,16.769
1,16.789
1,16.808
1,22.798
1,22.799
1,22.801
1,22.805
1,22.807
1,22.809
1,22.812
1,22.815
1,22.822
1,22.828
1,26.824
1,26.826
1,26.835
1,26.836
1,26.838
1,26.844
1,26.848
1,26.855
1,27.296
1,27.3
1,27.313
1,27.317
1,27.33
1,27.344
1,27.892
1,27.897
1,27.899
1,27.908
1,27.92
1,28.842
1,28.843
1,28.848
1,28.855
1,28.86
1,28.865
1,28.878
1,28.888
1,35.536
1,35.538
1,35.545
1,35.547
1,35.548
1,35.554
1,35.555
1,35.56
1,35.567
1,40.309
1,40.31
1,40.318
1,40.321
1,40.327
1,40.329
1,40.334
1,40.336
1,44.688
1,44.693
1,44.698
1,44.703
1,44.705
1,44.708
1,44.711
1,44.715
1,44.718
1,44.724
1,44.726
1,48.911
1,48.913
1,48.915
1,48.919
1,48.92
1,48.93
1,48.933
1,48.94
1,48.943
1,48.95
1,52.683
1,52.688
1,52.689
1,52.694
1,52.697
1,52.701
1,52.703
1,52.707
1,52.711
1,52.718
1,52.727
1,56.405
1,56.407
1,56.412
1,56.413
1,56.415
1,56.417
1,56.419
1,56.422
1,60.151
1,60.153
1,60.154
1,60.157
1,60.159
1,60.16
1,60.164
1,60.166
1,60.171
1,60.174
1,64.055
1,64.058
1,64.061
1,64.063
1,64.064
1,64.066
1,64.069
1,64.071
1,64.078
1,64.092
1,67.535
1,67.552
1,67.561
1,67.563
1,67.565
1,67.568
1,67.571
1,67.577
1,67.58
1,67.583
1,71.197
1,71.202
1,71.206
1,71.209
1,71.211
1,71.212
1,71.217
1,71.218
1,75.083
1,75.086
1,75.09
1,75.094
1,75.095
1,75.1
1,75.104
1,75.109
1,75.11
1,75.123
